"location.id","location.region","date","jsa.fem"
"1-163565459","West Midlands",NA,45
"1-2623407896","West Midlands","2010-10-01",40
"1-2623407896","West Midlands","2016-05-18",40
"1-2623407896","West Midlands",NA,40
"1-2623407896","West Midlands",NA,40
"1-378764733","West Midlands","2010-10-01",90
"1-378764733","West Midlands","2012-03-21",90
"1-378764733","West Midlands",NA,90
"1-378764733","West Midlands",NA,90
"1-126240829","West Midlands","2010-10-01",35
"1-126240829","West Midlands","2010-11-25",35
"1-126240829","West Midlands",NA,35
"1-126240829","West Midlands",NA,35
"1-118868729","West Midlands","2010-10-01",35
"1-118868729","West Midlands","2010-11-23",35
"1-118868729","West Midlands",NA,35
"1-118868729","West Midlands",NA,35
"1-120814427","West Midlands","2010-10-01",45
"1-120814427","West Midlands","2011-01-24",45
"1-120814427","West Midlands",NA,45
"1-120814427","West Midlands",NA,45
"1-213879129","West Midlands","2011-04-02",40
"1-213879129","West Midlands","2011-04-05",40
"1-213879129","West Midlands",NA,40
"1-213879129","West Midlands",NA,40
"1-120814442","West Midlands","2010-10-01",70
"1-120814442","West Midlands","2011-01-24",70
"1-120814442","West Midlands",NA,70
"1-120814442","West Midlands",NA,70
"1-124629397","West Midlands","2010-10-01",90
"1-124629397","West Midlands","2010-12-22",90
"1-124629397","West Midlands","2011-12-01",90
"1-124629397","West Midlands","2011-12-01",90
"1-124629413","West Midlands","2010-10-01",90
"1-124629413","West Midlands","2010-12-22",90
"1-124629413","West Midlands","2011-12-01",90
"1-124629413","West Midlands","2011-12-01",90
"1-301071444","West Midlands","2011-09-30",80
"1-301071444","West Midlands","2011-09-30",80
"1-301071444","West Midlands",NA,80
"1-301071444","West Midlands",NA,80
"1-301090649","West Midlands","2011-09-30",80
"1-301090649","West Midlands","2011-09-30",80
"1-301090649","West Midlands",NA,80
"1-301090649","West Midlands",NA,80
"1-117120163","West Midlands","2010-10-01",35
"1-117120163","West Midlands","2011-01-11",35
"1-117120163","West Midlands",NA,35
"1-117120163","West Midlands",NA,35
"1-126242184","West Midlands","2010-10-01",35
"1-126242184","West Midlands","2010-11-25",35
"1-126242184","West Midlands",NA,35
"1-126242184","West Midlands",NA,35
"1-136404588","West Midlands","2010-10-01",55
"1-136404588","West Midlands","2011-03-04",55
"1-136404588","West Midlands","2016-09-26",55
"1-136404588","West Midlands","2016-09-26",55
"1-2776020984","West Midlands","2016-07-18",15
"1-2776020984","West Midlands","2016-07-18",15
"1-2776020984","West Midlands",NA,15
"1-2776020984","West Midlands",NA,15
"1-120814471","West Midlands","2010-10-01",55
"1-120814471","West Midlands","2011-01-24",55
"1-120814471","West Midlands",NA,55
"1-120814471","West Midlands",NA,55
"1-143053153","West Midlands","2010-10-01",205
"1-143053153","West Midlands","2010-12-23",205
"1-143053153","West Midlands","2013-08-21",205
"1-143053153","West Midlands",NA,205
"1-1546937784","West Midlands","2010-10-01",175
"1-1546937784","West Midlands","2014-08-19",175
"1-1546937784","West Midlands",NA,175
"1-1546937784","West Midlands",NA,175
"1-136092511","West Midlands","2010-10-01",120
"1-136092511","West Midlands","2010-12-29",120
"1-136092511","West Midlands",NA,120
"1-136092511","West Midlands",NA,120
"1-136092454","West Midlands","2010-10-01",130
"1-136092454","West Midlands","2010-12-29",130
"1-136092454","West Midlands",NA,130
"1-136092454","West Midlands",NA,130
"1-224474966","West Midlands","2011-05-08",40
"1-224474966","West Midlands","2011-05-08",40
"1-224474966","West Midlands",NA,40
"1-224474966","West Midlands",NA,40
"1-120446128","West Midlands","2010-10-01",35
"1-120446128","West Midlands","2010-11-29",35
"1-120446128","West Midlands",NA,35
"1-120446128","West Midlands",NA,35
"1-118035068","West Midlands","2010-10-01",55
"1-118035068","West Midlands","2011-01-07",55
"1-118035068","West Midlands","2014-08-29",55
"1-118035068","West Midlands",NA,55
"1-120444305","West Midlands","2010-10-01",105
"1-120444305","West Midlands","2010-11-29",105
"1-120444305","West Midlands",NA,105
"1-120444305","West Midlands",NA,105
"1-120444320","West Midlands","2010-10-01",105
"1-120444320","West Midlands","2010-11-29",105
"1-120444320","West Midlands","2015-10-05",105
"1-120444320","West Midlands",NA,105
"1-168465808","West Midlands","2011-02-14",75
"1-168465808","West Midlands","2011-02-14",75
"1-168465808","West Midlands",NA,75
"1-168465808","West Midlands",NA,75
"1-143053473","West Midlands","2010-10-01",105
"1-143053473","West Midlands","2010-12-23",105
"1-143053473","West Midlands","2015-07-30",105
"1-143053473","West Midlands",NA,105
"1-120446174","West Midlands","2010-10-01",35
"1-120446174","West Midlands","2010-11-29",35
"1-120446174","West Midlands",NA,35
